ID	Node_ID	X	Y	Z	Arc_Num	Arc_IDs
194	-29012240	38433709.0810414	3739291.26188	-240	1	778076
197	10028700	38430717.89	3741554.63113513	-300	1	778077
198	-10029300	38430721.3234859	3741513.94456	-300	1	778077
199	-10028300	38430745.8787853	3741383.19852	-300	1	778077
200	-10027300	38430786.1780192	3741252.45248	-300	1	778077
201	-10026300	38430847.1222408	3741121.70644	-300	1	778077
202	11024700	38430871.912	3741081.6283009	-300	1	778077
203	-11025300	38430911.0108434	3740990.9604	-300	1	778077
204	-11024300	38430989.596047	3740860.21436	-300	1	778077
205	12022700	38431025.934	3740805.54311481	-300	1	778077
206	-12023300	38431101.1915923	3740729.46832	-300	1	778077
207	13021700	38431179.956	3740650.26592543	-300	1	778077
208	-13022300	38431203.1205532	3740598.72228	-300	1	778077
209	-13021300	38431258.7264057	3740467.97624	-300	1	778077
210	14019700	38431333.978	3740400.33155713	-300	1	778077
211	-14020300	38431389.5621455	3740337.2302	-300	1	778077
214	-15019300	38431579.4615341	3740206.48416	-300	1	778078
215	16017700	38431642.022	3740158.08448753	-300	1	778078
216	17017700	38431796.044	3740098.61645388	-300	1	778078
217	18017700	38431950.066	3740094.43909583	-300	1	778078
220	-18018300	38431989.7095233	3740075.73812	-300	1	778079
221	-18017300	38432088.5834986	3739944.99208	-300	1	778079
222	19015700	38432104.088	3739939.1361835	-300	1	778079
223	20015700	38432258.11	3739831.94309322	-300	1	778079
224	21015700	38432412.132	3739897.01489525	-300	1	778079
225	22015700	38432566.154	3739905.88855982	-300	1	778079
226	23015700	38432720.176	3739932.18065367	-300	1	778079
227	24015700	38432874.198	3739887.89470672	-300	1	778079
228	25015700	38433028.22	3739873.86524998	-300	1	778079
229	26015700	38433182.242	3739852.36808806	-300	1	778079
230	27015700	38433336.264	3739841.25173104	-300	1	778079
231	28015700	38433490.286	3739882.94715775	-300	1	778079
232	29015700	38433644.308	3739944.28371828	-300	1	778079
233	-29017300	38433646.4186204	3739944.99208	-300	1	778079
236	-12029360	38431116.7127095	3741513.94456	-360	1	778080
237	-12028360	38431084.8144506	3741383.19852	-360	1	778080
238	-12027360	38431108.7958314	3741252.45248	-360	1	778080
