ID	Arc_ID	BeginNode	EndNode	LeftPolygon	RightPolygon	MiddlePtsNum	MiddlePtsCooridinate	LX	LY	RX	RY
10	778071	15011820	1000055	-477348265	-1790579360	6	 (38431642.022,3739412.49771748,-180),(38431720.9431239,3739291.26188,-180),(38431796.044,3739227.68747557,-180),(38431910.9339294,3739160.51584,-180),(38431950.066,3739144.06002749,-180),(38432027.8685889,3739160.51584,-180)	38431488	3739144.06002749	38432089.230968	3739412.49771748
11	778072	1000055	30006820	600418560	-1730789024	17	 (38432104.088,3739176.18123113,-180),(38432133.6866672,3739160.51584,-180),(38432258.11,3739067.32645569,-180),(38432314.4955151,3739029.7698,-180),(38432412.132,3738986.7507514,-180),(38432566.154,3738933.99246077,-180),(38432712.1926838,3738899.02376,-180),(38432720.176,3738896.66040468,-180),(38432874.198,3738842.02892383,-180),(38433028.22,3738875.21551419,-180),(38433130.3971023,3738899.02376,-180),(38433182.242,3738904.57397408,-180),(38433336.264,3738913.98764233,-180),(38433359.5045662,3738899.02376,-180),(38433490.286,3738815.25386124,-180),(38433556.0196986,3738768.27772,-180),(38433644.308,3738705.20990025,-180)	38432089.230968	3738702.35243685	38433798.33	3739176.18123113
12	778073	-7030240	15014760	465250008	-418369714	21	 (38430335.292849,3741513.94456,-240),(38430352.4631981,3741383.19852,-240),(38430374.0602241,3741252.45248,-240),(38430400.2485318,3741121.70644,-240),(38430409.846,3741080.44575885,-240),(38430469.4129601,3740990.9604,-240),(38430563.868,3740870.78094036,-240),(38430571.0864464,3740860.21436,-240),(38430683.5618291,3740729.46832,-240),(38430717.89,3740694.27973558,-240),(38430770.2845873,3740598.72228,-240),(38430847.2649892,3740467.97624,-240),(38430871.912,3740427.81753969,-240),(38430958.140995,3740337.2302,-240),(38431025.934,3740322.81131898,-240),(38431150.1056667,3740206.48416,-240),(38431179.956,3740167.83804941,-240),(38431333.978,3740116.61634497,-240),(38431405.7648569,3740075.73812,-240),(38431455.07744,3739944.99208,-240),(38431423.9910475,3739814.24604,-240)	38430261.8736488	3739756.84372718	38431488	3741644.6906
13	778074	15014760	1000052	1061924256	-352846124	0		38431488	3739756.84372718	38431577.136186	3739759.16583569
14	778075	1000052	-16015240	-1702772021	1103635848	1	 (38431642.022,3739760.85619184,-240)	38431577.136186	3739683.5	38431741.6742824	3739760.85619184
15	778076	-16015240	30010760	-962396116	600418560	22	 (38431796.044,3739655.29044961,-240),(38431950.066,3739621.14323633,-240),(38432085.1615106,3739552.75396,-240),(38432104.088,3739535.62078798,-240),(38432227.4516337,3739422.00792,-240),(38432258.11,3739408.31278399,-240),(38432412.132,3739403.25122039,-240),(38432510.1694526,3739291.26188,-240),(38432566.154,3739258.65729461,-240),(38432681.0268824,3739291.26188,-240),(38432720.176,3739311.41802047,-240),(38432799.3501022,3739291.26188,-240),(38432874.198,3739275.8882294,-240),(38432944.6826494,3739291.26188,-240),(38433028.22,3739323.19418741,-240),(38433182.242,3739365.4465991,-240),(38433270.5626172,3739422.00792,-240),(38433336.264,3739442.28773415,-240),(38433365.6360011,3739422.00792,-240),(38433490.286,3739339.98339441,-240),(38433644.308,3739340.07793873,-240),(38433709.0810414,3739291.26188,-240)	38431741.6742824	3739225.15130791	38433798.33	3739683.5
16	778077	-9030300	15018700	-459763712	465250008	15	 (38430717.89,3741554.63113513,-300),(38430721.3234859,3741513.94456,-300),(38430745.8787853,3741383.19852,-300),(38430786.1780192,3741252.45248,-300),(38430847.1222408,3741121.70644,-300),(38430871.912,3741081.6283009,-300),(38430911.0108434,3740990.9604,-300),(38430989.596047,3740860.21436,-300),(38431025.934,3740805.54311481,-300),(38431101.1915923,3740729.46832,-300),(38431179.956,3740650.26592543,-300),(38431203.1205532,3740598.72228,-300),(38431258.7264057,3740467.97624,-300),(38431333.978,3740400.33155713,-300),(38431389.5621455,3740337.2302,-300)	38430711.0212533	3740269.99394391	38431488	3741644.6906
17	778078	15018700	1000053	77371072	1061924256	4	 (38431579.4615341,3740206.48416,-300),(38431642.022,3740158.08448753,-300),(38431796.044,3740098.61645388,-300),(38431950.066,3740094.43909583,-300)	38431488	3740087.7590019	38431964.2268899	3740269.99394391
18	778079	1000053	30016700	-133247616	-1702772021	14	 (38431989.7095233,3740075.73812,-300),(38432088.5834986,3739944.99208,-300),(38432104.088,3739939.1361835,-300),(38432258.11,3739831.94309322,-300),(38432412.132,3739897.01489525,-300),(38432566.154,3739905.88855982,-300),(38432720.176,3739932.18065367,-300),(38432874.198,3739887.89470672,-300),(38433028.22,3739873.86524998,-300),(38433182.242,3739852.36808806,-300),(38433336.264,3739841.25173104,-300),(38433490.286,3739882.94715775,-300),(38433644.308,3739944.28371828,-300),(38433646.4186204,3739944.99208,-300)	38431964.2268899	3739831.94309322	38433798.33	3740087.7590019
19	778080	-12030360	15023640	1181245568	-459763712	7	 (38431116.7127095,3741513.94456,-360),(38431084.8144506,3741383.19852,-360),(38431108.7958314,3741252.45248,-360),(38431179.956,3741129.25266497,-360),(38431183.5241541,3741121.70644,-360),(38431290.1552547,3740990.9604,-360),(38431333.978,3740943.37113319,-360)	38431084.8144506	3740882.0636604	38431488	3741644.6906
